ALL_STAR_ID,ALL_STAR_NAME,GROUP_ID,GROUP_NAME,LINEUP_ARCHETYPE,SEASON
2544,LeBron James,2544-2594-101112-202681-202697,L. James - K. Korver - C. Frye - K. Irving - I. Shumpert,All Around Guard-Movement Shooter-Shot Creator Guard-Stretch Big,2016-17
2544,LeBron James,2399-2544-201567-202681-202684,M. Dunleavy - L. James - K. Love - K. Irving - T. Thompson,3&D-All Around Big-Rim Runner/Protector-Shot Creator Guard,2016-17
2544,LeBron James,2210-2544-101112-201567-202697,R. Jefferson - L. James - C. Frye - K. Love - I. Shumpert,All Around Big-All Around Guard-Movement Shooter-Stretch Big,2016-17
2544,LeBron James,2210-2544-2747-201567-202681,R. Jefferson - L. James - J. Smith - K. Love - K. Irving,All Around Big-All Around Guard-Movement Shooter-Shot Creator Guard,2016-17
2544,LeBron James,2210-2544-201567-202681-202697,R. Jefferson - L. James - K. Love - K. Irving - I. Shumpert,All Around Big-All Around Guard-Movement Shooter-Shot Creator Guard,2016-17
2544,LeBron James,2210-2544-101112-202697-202732,R. Jefferson - L. James - C. Frye - I. Shumpert - D. Liggins,All Around Guard-Glue guy-Movement Shooter-Stretch Big,2016-17
2544,LeBron James,2544-2594-201567-202684-202697,L. James - K. Korver - K. Love - T. Thompson - I. Shumpert,All Around Big-All Around Guard-Movement Shooter-Rim Runner/Protector,2016-17
2544,LeBron James,2210-2544-2594-202681-202684,R. Jefferson - L. James - K. Korver - K. Irving - T. Thompson,Movement Shooter-Movement Shooter-Rim Runner/Protector-Shot Creator Guard,2016-17
2544,LeBron James,2210-2544-2594-201567-202681,R. Jefferson - L. James - K. Korver - K. Love - K. Irving,All Around Big-Movement Shooter-Movement Shooter-Shot Creator Guard,2016-17
2544,LeBron James,2544-2594-101112-101114-202697,L. James - K. Korver - C. Frye - D. Williams - I. Shumpert,All Around Guard-All Around Guard-Movement Shooter-Stretch Big,2016-17
2544,LeBron James,2210-2399-2544-101112-202681,R. Jefferson - M. Dunleavy - L. James - C. Frye - K. Irving,3&D-Movement Shooter-Shot Creator Guard-Stretch Big,2016-17
2544,LeBron James,2210-2399-2544-201567-202697,R. Jefferson - M. Dunleavy - L. James - K. Love - I. Shumpert,3&D-All Around Big-All Around Guard-Movement Shooter,2016-17
2544,LeBron James,2544-2747-101114-202681-202684,L. James - J. Smith - D. Williams - K. Irving - T. Thompson,All Around Guard-All Around Guard-Rim Runner/Protector-Shot Creator Guard,2016-17
2544,LeBron James,2544-2594-101112-202682-202697,L. James - K. Korver - C. Frye - D. Williams - I. Shumpert,All Around Guard-Movement Shooter-Stretch Big-Stretch Big,2016-17
2544,LeBron James,2399-2544-2747-201567-202681,M. Dunleavy - L. James - J. Smith - K. Love - K. Irving,3&D-All Around Big-All Around Guard-Shot Creator Guard,2016-17
